SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1382.60,1398.70,1365.05,1369.80,1369.80,1357.35,406,3211,4439046.00,
500003,AEGIS LOGIS ,B ,Q,851.15,854.55,827.00,830.15,830.15,846.30,543,4947,4149680.00,
500008,AMAR RAJA BA,A ,Q,980.00,994.80,966.00,978.05,978.05,973.15,2072,38594,37927291.00,
500009,A.SARABHAI  ,B ,Q,5.56,5.88,5.40,5.69,5.69,5.50,55,15235,86078.00,
500010,HDFC        ,A ,Q,1310.00,1319.20,1300.00,1302.65,1302.65,1302.05,2786,67723,88630866.00,
500012,ANDHRA PETRO,B ,Q,16.50,19.65,16.50,17.45,17.45,16.45,727,261059,4609563.00,
500013,ANSAL INFRAS,B ,Q,18.70,20.25,18.70,19.90,20.00,18.90,639,96201,1900500.00,
500014,APPLE FINANC,B ,Q,2.40,2.59,2.40,2.46,2.46,2.39,23,8221,20419.00,
500020,BOM DYEING  ,B ,Q,92.40,94.00,89.70,91.05,91.05,91.45,7407,1184905,109367779.00,
500023,ASIANHOTNR  ,B ,Q,107.00,109.90,105.10,109.90,109.90,108.90,3,25,2670.00,
500024,ASSAMCO     ,B ,Q,3.67,3.98,3.66,3.83,3.83,3.65,565,508623,1948051.00,
500027,ATUL LTD.   ,A ,Q,1245.00,1389.00,1242.00,1335.65,1338.00,1241.50,2672,31986,42662264.00,
500028,ATV PROJECTS,T ,Q,11.40,11.50,10.61,10.89,11.09,11.13,266,131679,1442274.00,
500029,AUTOLITE(I) ,B ,Q,58.00,59.05,56.50,57.75,57.75,58.40,69,4600,264647.00,
500030,AUTORID.FIN ,T ,Q,0.64,0.70,0.64,0.70,0.70,0.67,7,4569,2954.00,
500031,BAJAJ ELECT.,A ,Q,261.00,265.00,260.00,261.20,261.20,259.55,2308,80277,21069539.00,
500032,BAJAJHIND   ,B ,Q,14.40,16.15,14.40,15.48,15.48,14.39,2944,1019332,15884132.00,
500033,FORCE MOTR  ,B ,Q,3204.00,3288.00,2984.80,3031.35,3031.35,3141.85,34121,573276,1833752393.00,
500034,BAJFINANCE  ,A ,Q,5633.90,5717.70,5547.10,5570.20,5570.20,5627.90,1936,8705,48922745.00,
500038,BALRAM.CHINI,A ,Q,50.55,57.50,50.55,53.60,53.60,50.10,3301,500714,27032680.00,
500039,BANCO PROD. ,B ,Q,124.80,135.00,123.50,133.50,133.50,124.80,1218,122098,15792963.00,
500040,CENTURY TEXT,A ,Q,700.00,720.45,697.00,716.95,716.95,695.30,5466,171160,121955330.00,
